,PostalCode,name,categories,lat,lng
19,M6A,Urban Behavior,Clothing Store,43.71889855313541,-79.46469467303574
20,M6A,Fairweather,Women's Store,43.71787829,-79.46724603
21,M6A,Urban Planet,Clothing Store,43.718121,-79.467567
22,M6A,Lens Mills,Arts & Crafts Store,43.71913704692334,-79.46196899954919
23,M6A,West49,Clothing Store,43.719289,-79.467488
24,M6A,Lorellana Couture,Tailor Shop,43.719807,-79.467455
25,M6A,Ardene,Accessories Store,43.71893767381293,-79.46120710491647
26,M6A,Imperial Carpet & Home,Carpet Store,43.716672,-79.467415
27,M6A,Frameworth sports marketing,Gift Shop,43.718431101584265,-79.46851256833587
28,M6A,Gyros Gymnastics,Athletics & Sports,43.71677614916025,-79.46167716204125
29,M6A,Party City,Miscellaneous Shop,43.71941805471303,-79.459316806156
30,M6A,Orfus Road,Clothing Store,43.719180444061294,-79.46036020806626
31,M6A,Le Château,Clothing Store,43.71926903,-79.460276
32,M6A,Universal Lighting,Furniture / Home Store,43.7216845,-79.4663096
33,M6A,Dominion Roofing,Construction & Landscaping,43.72147444465325,-79.46721196174622
34,M6A,SVP Sports,Sporting Goods Shop,43.72151621147103,-79.46732601644699
35,M6A,Si Vous Play Sports,Shoe Store,43.72148036234913,-79.46752487479537
36,M6A,Barrymore,Furniture / Home Store,43.715889754621216,-79.46818846540778
37,M6A,Dominion Rug & Home,Furniture / Home Store,43.7177591,-79.4598405
38,M6A,Enercare,Home Service,43.7155908,-79.4615551
39,M6A,Lighting Originals Inc.,Lighting Store,43.72231185106789,-79.46503400802612
40,M6A,Carpi Beauty Supplies,Health & Beauty Service,43.7216307,-79.46789719999998
41,M6A,Canadian Appliance,Furniture / Home Store,43.72211025429708,-79.46726560592651
42,M6A,Physiomed North York,Medical Center,43.7159161,-79.4600183
0,M7A,Queen's Park,Park,43.66394609897775,-79.39217952520835
1,M7A,Mercatto,Italian Restaurant,43.660390911898546,-79.38766421192705
2,M7A,NEO COFFEE BAR,Coffee Shop,43.66013,-79.38583
3,M7A,Nando's,Portuguese Restaurant,43.66172826,-79.38639146
4,M7A,Bar Volo,Beer Bar,43.66546184849369,-79.38569158315659
5,M7A,T-Swirl Crepe,Creperie,43.663452,-79.384125
6,M7A,Sushi Box,Sushi Restaurant,43.66295954544153,-79.38657996066198
7,M7A,Starbucks,Coffee Shop,43.662407,-79.385943
8,M7A,The Yoga Sanctuary,Yoga Studio,43.661499497597596,-79.38363613350754
9,M7A,Coffee Island,Coffee Shop,43.66427089680226,-79.38697157138014
10,M7A,Central YMCA,Distribution Center,43.663083310067655,-79.38502493214878
11,M7A,Coffee Public,Coffee Shop,43.66076299149323,-79.38618409033066
12,M7A,Como En Casa,Mexican Restaurant,43.66516,-79.384796
13,M7A,Tabriz Persian Cookhouse,Persian Restaurant,43.66533,-79.387484
14,M7A,Starbucks,Coffee Shop,43.65945605353152,-79.39041123272168
15,M7A,Coach House Restaurant,Diner,43.66499059853204,-79.38481415727767
16,M7A,Tokyo Sushi,Sushi Restaurant,43.665885330936845,-79.38697684868161
17,M7A,401 Games,Hobby Shop,43.663623277853254,-79.3840374323983
18,M7A,Burrito Bandidos,Burrito Place,43.662962178169344,-79.38395554190546
19,M7A,Hart House Theatre,Theater,43.66357134217992,-79.3946163990837
20,M7A,Sushi Garden,Sushi Restaurant,43.66485840073255,-79.38494112880176
21,M7A,Flock Rotisserie + Greens,Fried Chicken Joint,43.659167,-79.389475
22,M7A,Dollarama,Discount Store,43.66068,-79.38468
23,M7A,Tokyo Grill,Japanese Restaurant,43.665085238149395,-79.38470692554789
24,M7A,Hero Certified Burgers,Burger Joint,43.66506305816304,-79.38729454806868
25,M7A,Bubble Bath & Spa,Spa,43.65904951746615,-79.38534357912432
26,M7A,Darvish,Middle Eastern Restaurant,43.66340728021761,-79.38392863889676
27,M7A,Colaba Junction,Indian Restaurant,43.66094,-79.385635
28,M7A,Fran's,Diner,43.661255320138636,-79.38389304122866
29,M7A,Starbucks,Coffee Shop,43.661527,-79.383411
30,M7A,St. Louis Bar and Grill,Wings Joint,43.66385323730235,-79.38418742909323
31,M7A,Wendy’s,Fast Food Restaurant,43.662820073147046,-79.38337917323224
32,M7A,Second Cup,Coffee Shop,43.66549422185526,-79.38765204858025
33,M7A,Buddies In Bad Times Theatre,Nightclub,43.663058539371825,-79.38344927771267
34,M7A,freshii,Salad Place,43.66128623053018,-79.38396405932683
35,M7A,The Captain's Boil,Seafood Restaurant,43.662374914979594,-79.38353475807129
36,M7A,Booster Juice,Juice Bar,43.660323,-79.385445
37,M7A,Northbound Leather,Boutique,43.66525192363289,-79.38487411233972
38,M7A,Mr. Tonkatsu,Japanese Restaurant,43.66438157920901,-79.38440717744646
39,M7A,Thai Express,Thai Restaurant,43.66163,-79.38734
40,M7A,Bar Burrito,Burrito Place,43.66432792425607,-79.38438568928414
41,M7A,Crown Princess Fine Dining 伯爵名宴,Chinese Restaurant,43.66645492941117,-79.38769789187712
42,M7A,Starbucks,Coffee Shop,43.658204,-79.388998
43,M7A,Striker Sports Bar,Sports Bar,43.66584034721275,-79.38689466516563
44,M7A,Yummy Zone,Bubble Tea Shop,43.662755747929545,-79.38659907574278
45,M7A,W Burger Bar,Burger Joint,43.66133100835633,-79.3835570768382
46,M7A,Booster Juice,Smoothie Shop,43.65865699,-79.38868207
47,M7A,Tim Hortons,Coffee Shop,43.66469917252386,-79.38451780784604
48,M7A,RBC Royal Bank,Bank,43.65933603842843,-79.38977326176165
49,M7A,Subway,Sandwich Place,43.65946709895447,-79.38824850471555
50,M7A,Starbucks,Coffee Shop,43.65952575859537,-79.39027029345037
51,M7A,Sharetea,Bubble Tea Shop,43.66501750948576,-79.38466042437128
52,M7A,Est West Cafe,Salad Place,43.65954133608129,-79.39063666861075
53,M7A,TD Canada Trust,Bank,43.6608428,-79.3848856
54,M7A,LCBO,Liquor Store,43.66442750513206,-79.38432654555464
55,M7A,Ramen Raijin 雷神,Ramen Restaurant,43.6651907105415,-79.38597392728876
